video_id,captions
G_23576,"['Police officers work in the police station', 'There are two red flags in front of the white police station building', 'The police are currently working', 'The police are currently working', 'A gray house']"
G_23140,"['A man in red picked up a piece of blue silk from the ground', 'A person rides a horse and leans sideways to pick up cloth from the ground', 'Some people are riding horses', 'The riders are racing horses on the grassland', 'Many men are engaged in horse riding competitions']"
G_23000,"['Some people are playing by the small river', 'A few people are walking around casually', 'Many people are walking on the street', 'Many people walk on the streets by the small river', 'A group of people are shopping in the ancient town']"
G_23011,"['A slender building built in the desert', 'A steel structure towering in the desert', 'A person wearing red clothes and a white helmet is talking', 'Some buildings built in the desert', 'There is a huge drilling equipment']"
G_23558,"['A group of people are in the platform hall', 'There are some people wearing masks in the station', 'The Chairman talked to the staff of the high-speed railway station', 'The Chairman talked to the staff of the high-speed railway station', 'Men dressed in black patrol the new area']"
G_23022,"['A person talking next to a group of dancers', 'A woman is talking', 'A woman with black hair is talking with a microphone', 'A person dressed in black speaks in front of the dancer', 'A group of people danced in a circle']"
G_23369,"['A man is polishing a wooden board', 'Three people wearing yellow and green clothes were walking on a large muddy water surface', 'The yellow river is flowing', 'Three people in green clothes walking in the stagnant water', 'The man in yellow clothes got off the white car']"
G_23261,"['Artillery fires shells multiple times', 'There are a large number of pedestrians at the gate', 'Several soldiers are manipulating the tank to fire guns', 'A cannon is firing', 'A gun on the ground']"
G_23089,"['Nurses help patients blow air', 'A doctor is explaining the diagnosis to another person', 'Doctors and nurses in hospitals diagnose and treat patients', ""A doctor holds a tube and puts it into the patient's mouth"", 'A doctor is talking to a person wearing a mask']"
G_23290,"['The rooftop radar is spinning', 'Some people are taking photos while admiring flowers', 'A ship sailed smoothly at sea', 'A fleet is sailing on the sea surface', 'Some ships are moving at sea']"
G_23132,"['A large number of tourists are visiting the scenic area', 'Many people queue up in desert scenic spots', 'Many people play in desert scenic spots', 'Tourists visiting tourist attractions', 'Numerous tourists visiting scenic spots']"
G_23231,"['A group of people wearing masks and black clothes stood on the ground', 'Many people were brought into court by the police', 'Defendant', 'Many people are looking at products', 'A group of police officers with a group of people standing']"
G_23195,"['A man is making Tomatoes on sticks', 'The machine is printing paper money', 'The machine is printing money', 'Many banknotes are sealed on the conveyor belt', 'A machine is organizing banknotes']"
G_23234,"['A man wearing black clothes and glasses sat talking', 'A man in black is talking', 'Cheating a lot of money', 'A bank in the United States is going bankrupt', 'A group of people in court are currently undergoing a trial']"
G_23396,"['People camping on the grass', 'Several men pulled the electric vehicle out of the cart', 'A green truck collided with an electric vehicle', 'Two traffic police promptly stopped the truck from turning right and colliding with an electric vehicle, causing a traffic accident', 'A green container truck collided with a moving motorcycle on the right side']"
G_23018,"['A drill bit is advancing in the soil', 'An object is circling forward', 'A pipe extends underground', 'Part of the electronic pipeline is placed on a red cloth', 'The complex structure of drill bits']"
G_23589,"['A woman speaks in front of the screen', 'A news anchor is broadcasting news related to foreign currencies', 'The printer is printing dollars', 'The printer is printing dollars', 'The woman in green is talking']"
G_23153,"['Three people receiving awards together on stage', 'A firefighter wins an award', 'Several men presented awards', 'Three people have won awards', 'A firefighter is training']"
G_23015,"['Many people dance and walk on the open space in the tile room', 'A group of people are dancing in a circle', 'Many people are walking on the street', 'Many people dance on the square', 'A group of people danced in a circle']"
G_23332,"['A few people are playing with the white cloth', 'The workers are creating the skeleton of the blades in the workshop', 'People lay cloth on white blade shaped machinery', 'Blue clad workers lay cloth', 'Some people wearing blue clothes and masks are sticking white cloth']"
G_23039,"['Two people are playing chess', 'Two men are playing chess', 'Two people playing chess', 'Two people wearing white clothes are playing chess', 'Two people are playing chess']"
G_23054,"['Many passengers at the airport are purchasing air tickets', 'A group of people are passing through the ticket checkpoint', 'People queue up for ticket inspection and take the blue and white scenic shuttle bus', 'Many people are getting on a car', 'Many people queue up for inspection and boarding']"
G_23302,"['Flood Passing Through the Town', 'The turbulent river flows through the black wooden wind and rain bridge', 'Behind the turbid river, there are ancient buildings', 'The river overflows the shore', 'A turbid river flows through a Chinese style covered bridge']"
G_23046,"['Some people are sitting in the restaurant chatting', 'Many people are sitting in the restaurant', 'Many people sit in restaurant seats', 'Many people dine in restaurants', 'A group of people sitting in a restaurant talking']"
G_23093,"['Running races on the road', 'Some people are running', 'People participate in various sports', 'Many people run on the same road', 'Many people run on the streets']"
G_23516,"['A machine is cutting paper currency', 'The machine is printing US dollars', 'The banknote printing machine prints many dollars', 'The money printing machine is printing US dollars', 'Machine printed USD']"
G_23321,"['The machine is moving', 'The white ship arrow combination stands upright in the assembly room', 'White cylindrical machinery', 'The white rocket is in the white room', 'A white cylindrical object is lifted from an iron frame']"
G_23272,"['There are many cars and pedestrians on the street', 'A group of people are walking the circular staircase', 'Fountain spraying in front of the white building inside the fence', 'Many people walk on the streets', 'Many people and cars are on the ground']"
G_23553,"['A group of people are applauding to welcome a team', 'People applaud to welcome some people wearing black clothes', 'A large number of people welcomed the chairman', 'Many people welcome the chairman', 'A group of people applauded to welcome a person dressed in black']"
G_23599,"['Firefighters are setting up tents', 'Rescue workers are setting up tents and transporting supplies', 'Ground fire rescue team conducts drills', 'Ground fire rescue team conducts drills', 'Many people wearing orange clothes set up orange tents']"
G_23405,"['Some vehicles turn right at intersections with orange red markings in the danger zone', 'Many vehicles pass straight through viaduct openings', 'Two black cars turning right', 'Vehicles driving over a road with a right turn danger area written on it', 'A large number of vehicles are turning through an intersection']"
G_23265,"['Vehicles driving on rainy streets', 'One person is operating various machines', 'Multiple cars driving on the road on rainy days', 'Many cars are driving in the rain', 'The car is on the rainy ground']"
G_23365,"['A man in blue is introducing himself', 'Water flooded the road and vehicles', 'A car was soaked in water', 'A pickup truck was soaked in water', 'A silver sedan parked in the flood']"
G_23333,"['A group of people are playing with white cloth', 'Workers are polishing the blades', 'People are working with rulers and machinery', 'Blue clad workers polish blades', 'The person wearing blue clothes is using a machine to polish objects']"
G_23555,"['A person is greeting someone who is applauding and cheering', 'A person beckoning and leading some people to come to others', 'The chairman waved his hand as a greeting', 'The chairman waved his hand as a gesture', 'A group of people applauded to welcome a person dressed in black']"
G_23204,"['A group of people are waiting at the high-speed railway station', 'A woman dressed in black is undergoing an examination', 'Large number of railway issuers', 'There is a shelf in the forest, and below it is a deep oil well', 'A woman is screening a group of people']"
G_23211,"['Many white headed optical cables', 'The indicator light of an instrument is flashing', 'Voice message posted', 'There are ultra deep drilling rigs in the desert', 'Some server interfaces']"
G_23560,"['There is a red flag fluttering in the center of the building', 'There are several low rise buildings and a red flag in the park', 'Beautiful architectural environment', 'Beautiful architectural environment', 'Drone aerial photography of new urban buildings']"
G_23155,"['A bank is on the roadside', 'A beige foreign bank', 'Scenarios of Banks', 'Shops and cars', 'Three cars parked on the roadside']"
G_23596,"['Several groups of firefighters are moving boxes', 'Rescue personnel are conducting water rescue drills', 'Maritime fire rescue teams conduct drills', 'Maritime fire rescue teams conduct drills', 'Several red ships sailing on the blue water']"
G_23177,"['Some big barrels are smoking', 'Oil depot attacked and caught fire', 'Scenes of water gun spraying', 'A huge cloud floats in the sky', 'A person is spraying water']"
G_23397,"['People camping in the woods', 'Many people mix with cars on the streets', 'Many cars are driving at intersections', 'There are many cars at the intersection and many new people come and go', 'There are many vehicles coming and going at an intersection']"
G_23069,"['Details of a worker plastering', 'A person is working on a wooden board', 'A man handles the wall panel', 'A man is wiping a wooden board', 'A person is holding a brush to brush the sawdust on a wooden board']"
G_23298,"['Multiple personnel are setting up a warning line in the waterlogged area', 'Some people are cycling through the crowd', 'Two people are setting up a warning line between two pillars', 'The river is surging', 'Water flows on the ground']"
G_23137,"['Six people performing on stage', 'A boy in white and his band are performing on stage', 'Many people play at music festivals', 'During the music festival, the band performed on stage', 'Tourists participating in music festivals']"
G_23544,"['A woman is riding a motorcycle under an umbrella in the rain', 'Heavy rain falling in the city', ""It's raining heavily on the street"", 'A woman is riding an electric bike under an umbrella while driving in the rain', 'The workers reinforced the river embankment with bricks']"
G_23176,"['There are some gun barrels on a truck', 'Soldiers firing shells', 'The soldiers are adjusting the cannons', 'A car carrying missiles', 'Standing alone next to the car']"
G_23124,"['The condition of the highway on rainy days', ""It's raining in many places"", 'Some vehicles are driving on rainy streets', 'Vehicles driving on rainy urban roads', 'Various types of motor vehicles driving on rainy streets']"
G_23392,"['People wave flags, cars, and play Tai Chi', 'Several people lined up in front of the glass window', 'An elderly man with white hair was holding a paper and looking at the toll booth', 'Several people are queuing up at the window to process their documents', 'Many counters at toll booths']"
G_23218,"['Many white headed optical cables', 'The indicator light of an instrument is flashing', 'Cultivate network security awareness', 'The drill bit is advancing underground', 'Some server interfaces']"
G_23371,"['The man is explaining to others', 'A few people walking down the street holding umbrellas', 'A person in green clothes is walking under a blue umbrella on a rainy day', 'Two people walking under umbrellas in the rain', 'The girl wearing green clothes is walking in the rain under an umbrella']"
G_23382,"['A building bathed in sunlight', 'Many people and cars travel on the road surface', 'Many cars are driving on the road', 'A tree in front of a blue road sign', 'Traffic flow on the road']"
G_23372,"['Tourists walk up the stairs', 'Two elderly people sitting on their beds at home', 'Two elderly people sitting on the bed', 'Two elderly people sitting on the edge of the bed laughing', 'A white SUV parked in the middle of the road']"
G_23592,"['The US dollar printing machine is printing US dollars', 'Many foreign banknotes are being made', 'The printer is printing dollars', 'The printer is printing dollars', 'Green paper money is being printed']"
G_23547,"['Deep rainwater has been deposited on a road', 'Heavy rain caused congestion in the streets', 'The street was flooded by rainwater', 'Water accumulation on multiple road surfaces', 'Precipitation causes the water level to rise']"
G_23383,"['People walking on the streets', 'Several large machines are handling containers', 'Loading and unloading containers on the dock', 'A large truck is moving the blue container', 'There are many containers on the port']"
G_23225,"['The black display screen shows red characters', 'Many screens displaying data', 'Serious short selling in the stock market', 'Many automation devices are working', 'Some text scrolling on the screen']"
G_23301,"['Flood flows in the river channel', 'The turbulent river flows through the gray cement bridge', 'The river is flowing in front of the building', 'There is a bridge over the river', 'A turbid river crosses a bridge']"
G_23281,"['There are many cars on the street below the building', 'A person withdraws money from ATM', 'One wall of the residential building is damaged', 'Many vehicles are driving under the tall building', 'Some buildings are on the ground']"
G_23502,"['A group of people celebrate the launch of an airship', 'Three men are paying respects', 'Several astronauts are active in spacecraft', 'Three astronauts flew into space', 'Astronauts working in space']"
G_23444,"['A person looks out of the window and makes a phone call', 'A person is looking out of the window', 'A person is making a phone call in front of the window', ""People's backs and trees"", 'A man standing by the window making a phone call']"
G_23019,"['A metal product is displayed', 'Two men are operating a device', 'Two people wearing glasses and white clothes are operating the equipment', 'Two people wearing white clothes are debugging the instrument', 'The complex structure of drill bits']"
G_23430,"['Vehicles driving on the road in heavy rain', 'Vehicles driving on the streets on rainy days', 'Vehicle driving in the rain', 'Vehicles driving on waterlogged roads', 'Several cars are wading along the road in heavy rain']"
G_23056,"['Many people are waiting on the rotating display screen', 'Many people can be seen in the surveillance video', 'Many people come and go in railway monitoring', 'Multiple screens display a large number of people streaming', 'The surveillance screen shows a hall with many people']"
G_23342,"['Two people walking in front of a group of people', 'The men lined up in two teams to welcome two men', 'Two people walked through the crowd next to them', 'A person wearing a black suit walked by', 'A person in a suit walked between the guard and a group of people in suits']"
G_23304,"['Excavator excavates stones', 'Excavators dig stones into the river', 'The excavator is digging for stones', 'Excavators digging stones by the river', 'A man is driving an excavator to pour stones from the ground into the river']"
G_23379,"['A man is checking money', 'Several bungalows were bathed in heavy rain', 'Rain falling on the ground', 'The three trees swayed in the rainstorm and strong wind', 'Jiangnan Town in Rainy Days']"
G_23331,"['The machine is moving', 'The white ship arrow combination stands upright in the assembly room', 'White cylindrical machinery', 'The white rocket is in the white room', 'A white cylindrical object is lifted and moved']"
G_23255,"['There are many cars and pedestrians on the street', 'A large number of tourists are operating self-service boarding machines', 'Tourists taking photos outside the fence', 'A few people strolling on the street', 'A group of people are moving in front of the square']"
G_23564,"['Many people are taking photos', 'Many people wear masks and face computers', 'People from different countries are participating in international conferences', 'People from different countries are participating in international conferences', 'A group of men and women are watching screens together for a meeting']"
G_23185,"['A group of people are sowing seeds in the rice field', 'People in rural areas are planting rice', 'A woman works in a rice field', 'A group of people working on a rice field', 'A group of people are farming']"
G_23025,"['Many different machines are running', 'Fully automatic machine in operation', 'Some people wearing white clothes, white hats, and masks operate in front of the machine', 'Many different machines are working', 'Several people are operating the machine']"
G_23431,"['A green train passes on the loess ground', 'The train is traveling on the desert railway', 'People come and go in hospitals', 'People walking, buildings like doors and trains', 'A train is running on the deserted Gobi Desert']"
G_23042,"[""Colorful flowers grow by the water's edge"", 'Several beautiful flowers bloom freely', 'Some flower lights are placed in the pool', 'There are brightly colored flowers in the lake', 'There are various colored lanterns in the pond']"
G_23359,"[""A man is speaking, a woman is answering someone else's question"", 'The water submerged the lower floors of the building', 'A person in red clothes and a red helmet is pushing a boat through the water', 'Firefighters are searching and rescuing in the water with lifeboats', 'The houses and trees are surrounded by floods']"
G_23182,"['A person is talking with a microphone', 'People speak in lectures', 'A scene where several men stand and speak', 'A person speaks with a microphone in hand', 'A person is talking']"
G_23174,"['A truck is firing shells', 'Soldiers are at war', 'Artillery firing shells', 'A shell passed through the forest', 'A car is firing shells']"
G_23199,"['A group of people are entering the airport', 'People are boarding the plane', 'Passengers enter the station at the ticket checkpoint', 'A group of people are passing through the entrance guard', 'A group of people are queuing up']"
G_23316,"['Working alone in a factory', 'Flames spewing out from high towers in an oil factory', 'Spitting fire above gray buildings', 'Red clad workers walking through facilities', 'A factory chimney spewed flames into the sky']"
G_23154,"['The ticket office staff are working', 'Many passengers check in at the airport', 'Tourists are buying tickets', 'Many people are waiting in front of the window', 'A group of people stood in the hall']"
G_23126,"['A national rainfall forecast map', ""It's raining in many areas"", 'A precipitation forecast map', 'The weather forecast shows a precipitation forecast map', 'Severe convective weather triggered precipitation and strong winds']"
G_23362,"['Staff guide tourists into the area', 'Many men helped an old man onto a small boat', 'A group of people rowed a boat forward in the water', 'The firefighters are conducting rescue work', 'Two firefighters assist the elderly grandmother in the epithelial raft']"
G_23587,"['Three astronauts are inspecting the cargo', 'Three astronauts dressed in blue are inspecting the cargo room', 'Astronauts carrying cargo in aircraft', 'Astronauts carrying cargo in aircraft', 'The man in blue clothes floats in the white room']"
G_23031,"['Many people are shopping', 'Many people are walking back and forth', 'Many people walk in the mall', 'Many people shop in the mall', 'A group of people are shopping']"
G_23113,"['Many people enter the airport and leave by plane', 'Many people are entering and exiting the airport', 'A plane is flying in the sky', 'Passengers check in at the airport and the plane takes off', 'Images of passengers boarding in an orderly manner before takeoff and during flight']"
G_23569,"['Several astronauts are active inside the spacecraft', 'Three people dressed in blue are inside the spacecraft', 'Pilots eat and exercise in aircraft', 'Pilots eat and exercise in aircraft', 'A man in blue is exercising in a white room']"
G_23173,"['A cannon is firing shells', 'Soldiers firing shells', 'Scenarios of various artillery launches', ""The helicopter's oars are spinning"", 'A tank is firing shells']"
G_23582,"['Rainfall Map of China in May of 2023', ""China's satellite cloud images show varying climates in different regions"", 'Satellite Images Showing Meteorological Changes in China', 'Satellite Images Showing Meteorological Changes in China', 'White clouds are distributed on the surface of the Earth']"
G_23575,"['The ship is safely mounted on an orange device', 'A ship collided with a bridge pier', 'Ship Impact Experimental Equipment', 'Ship Impact Experimental Equipment', 'The blue ship collided with the red ring and bounced open']"
G_23057,"['The enlarged display screen shows many people waiting for the bus', 'During the surveillance, many people can be seen waiting for the bus', 'Many people come and go in railway monitoring', 'A large number of people gathered on a screen', 'There are many people sitting in the hall']"
G_23248,"['Several men wearing blue clothes are eating', 'Two men in blue are exercising', 'Ensuring astronaut needs', 'A family eats around a table', 'Two men wearing blue clothes are exercising']"
G_23024,"['A chaotic gray blue scene constantly changing', 'The lens is constantly deepening in the pipeline', 'Camera descending through the underground pipeline', 'The pipeline descends along the smooth wellbore wall', 'The smooth inner wall of the well']"
G_23017,"['A drill bit is advancing in the soil', 'A man is speaking in the desert', 'A person wearing glasses and a white helmet is talking', 'A person wearing a white helmet and red clothes is talking', 'Schematic diagram of the drill bit meandering underground']"
G_23358,"['A woman is walking in the hall', 'Two people holding onto a lifebuoy and floating on the water', 'A person in red and another person holding a tire in the water', 'A person holding a swimming circle in the water', 'Two people holding tires in the flood']"
G_23066,"['A worker introduces how to use a shovel to plaster', 'A man is scraping putty', 'A man showcases his skills to his students', 'A man holding a tool is painting the wall', 'A person is brushing the wall with a tool']"
G_23375,"['A man is counting money', 'The turbid water flooded most of the area', 'There is a yellow river next to the building', 'There is a deep accumulation of water in a village', 'A large amount of flood is distributed around the houses']"
G_23274,"['Walking alone on stairs with many equipment', 'A large number of people are walking indoors', 'Two trucks in the parking lot', 'A tanker truck drives out of the toll station', 'Many cars move on the ground']"
G_23542,"['A beam of purple light shines on three boards', 'A building is receiving particle beams', 'White rays shoot towards the pool', 'A purple ray directed towards the white house', 'Particles hit a white flat plate on the ground']"
G_23249,"['A white aircraft cabin is flying', 'A moving spacecraft', 'The new spacecraft has abundant fuel', 'A man is introducing the dock', 'A spaceship is traveling']"
G_23094,"['Under the tent, there are tourists resting and hiking parades', 'Some people walk on stairs built on the mountain', 'People engage in various activities outdoors', 'There are many people in a desert', 'Many people are climbing stairs']"
G_23180,"['A group of people sat wearing masks', 'People are listening to lectures', 'A man is giving a speech', 'A group of people sat neatly in a row', 'A group of people sat listening to a person speaking']"
G_23310,"['A group of people walking', 'On the platform of the train station, a group of people were dragging their luggage while walking', 'People wearing masks are walking around', 'Crowds moving around the high-speed rail station', 'A group of people passed by the train carriage']"
G_23440,"['A person wearing black clothes is writing on a computer', 'One person is operating a computer', 'People work in front of computers', 'People are using computers', 'A person is typing on a laptop']"
G_23023,"['Different pipelines appear repeatedly', 'Piercing a cylinder into a circle', 'The pipe is continuously extending', 'The pipeline released gray liquid underground to fill the pit', 'Schematic diagram of underground pipelines']"
G_23275,"['There are many factories in the distance', 'A person is checking money', 'Four torches are on fire', 'Giant pipes stand on the desert', 'Some buildings are on the ground']"
G_23297,"['The firefighter carried an old man out of the flooded room', 'Some people are camping in the woods', 'Two men rescue the elderly indoors', 'Two men are preparing to carry an elderly man trapped at home', 'There is a lot of water on the ground']"
G_23406,"['Some vehicles are queuing up on the highway', 'An electric vehicle drove past an intersection', 'A tour of several cars', 'Vehicle driving', 'Many cars are driving towards the front of the road']"
G_23005,"['A slender building appears in different scenes', 'A steel building towering in the desert', 'A convoy is driving in the desert', 'There are many buildings in the desert', 'There is a huge drilling equipment']"
G_23116,"['Two staff members are operating the computer', 'Two technicians operate directly towards the screen', 'Two people are manipulating electronic devices', 'Traders trade stocks on financial exchanges', 'Two men using multiple computers']"
G_23045,"['A girl is eating something', 'A woman is eating something', 'A woman is eating with chopsticks and a bowl', 'A person wearing white clothes is eating', 'A person is eating with chopsticks']"
G_23386,"['People seek medical attention in front of outpatient clinics', 'Many tall buildings are bathed in the sunshine', 'The white building is bathed in sunlight', 'Buildings bathed in the sunshine', 'Many tall buildings on a sunny day']"
G_23363,"['A staff member dressed in pink guides the tourists, and then the sun rises', 'Three men carrying an old man walking in the water', 'Three people in red clothes carrying the old man wading through the water', 'Three lifeguards are rescuing an elderly person', 'A firefighter carrying an old lady walking in the flood']"
G_23016,"['A slender pipe is constantly elongating', 'A stick like object is zigzagging forward', 'A pipe extends underground', 'The drilling rig is advancing through underground excavation', 'Schematic diagram of the drill bit meandering underground']"
G_23048,"['Some people sit at tables eating', 'Adults and children sit together to eat', 'Many people sit around a round table to eat', 'Many people dine in restaurants', 'A group of people sitting together to eat']"
G_23208,"['Tourists walking on the road', 'A group of people are shopping at the market', 'Consumption is expanding', 'Explanation of the drilling process and principles', 'A group of people are browsing stalls at the market']"
G_23410,"['Rescue workers dressed in orange put a child on the ground', 'The firefighter squatted down and had a conversation with the girl', 'Firefighters rescued the girl', 'Three firefighters surround a girl', 'Multiple firefighters are taking care of a girl']"
G_23003,"['A columnar building is rotating', 'Two people are cooperating with mechanical drilling', 'A pillar is rotating', 'The huge drilling pipe is spinning', 'Two people are drilling']"
G_23517,"['A chimney is emitting smoke', 'A person is counting money', 'An unemployed person sleeps on the street', 'Counting banknotes with both hands', 'The streets were in chaos']"
G_23237,"['A man wearing black clothes and a mask is talking', 'A man wearing a mask is talking', 'Deceiving the elderly to purchase collectibles', 'Americans eat in restaurants', 'A group of people in court are currently undergoing a trial']"
G_23060,"['Many ancient buildings', 'Many low houses are densely distributed together', 'Many houses with green roofs', 'A cluster of buildings gathers many people', 'There are many houses by the mountain']"
G_23196,"['A group of people are eating', 'A man is making food', 'A man is wrapping syrup in Bingtanghulu', 'A man is making Tomatoes on sticks', 'A person is cooking food']"
G_23579,"['The mountain was covered in a vast layer of white snow', 'There is a beautiful snowy mountain under the azure sky', 'There is a lot of snow on the mountain', 'There is a lot of snow on the mountain', 'The brown mountains are covered in white snow']"
G_23110,"['Tourists check in at the airport', 'Many people are queuing up at the airport to board the plane', 'Some people are queuing in the waiting hall', 'Passengers check in at the airport', 'Airport passengers check in at the airport']"
G_23366,"['A man in blue is working', 'Many men wearing red clothes and helmets are assembling a machine', 'Several people in red clothes and helmets are organizing their equipment', 'Many firefighters are assembling equipment', 'Firefighters wearing red clothes are operating white leather hoses']"
G_23299,"['There is a lot of water on the ground that forms a small waterfall', 'Some people are waiting to buy tickets', 'The water in the river is flowing', 'The river is surging', 'There is a lot of water flowing on the ground']"
G_23029,"['Some large industrial equipment is in operation', 'The ship loaded with boxes is moving', 'Two people wearing black clothes, masks, and black hats are walking', 'A ship full of boxes is sailing at sea', 'There is a large cargo ship in the sea']"
